country,track.id,track name,popularity,date,danceability,energy,acousticness,liveness,tempo
Costa Rica,53tfEupEzQRtVFOeZvk7xq,DESPECHÁ,81.0,2023-02-28,0.914,0.622,0.146,0.0632,130.04
Ecuador,53tfEupEzQRtVFOeZvk7xq,DESPECHÁ,81.0,2023-02-28,0.914,0.622,0.146,0.0632,130.04
France,53tfEupEzQRtVFOeZvk7xq,DESPECHÁ,81.0,2023-02-28,0.914,0.622,0.146,0.0632,130.04
Spain,53tfEupEzQRtVFOeZvk7xq,DESPECHÁ,81.0,2023-02-28,0.914,0.622,0.146,0.0632,130.04
Argentina,0DWdj2oZMBFSzRsi2Cvfzf,TQG,80.0,2023-02-28,0.72,0.63,0.673,0.0936,179.974
Chile,0DWdj2oZMBFSzRsi2Cvfzf,TQG,80.0,2023-02-28,0.72,0.63,0.673,0.0936,179.974
Costa Rica,0DWdj2oZMBFSzRsi2Cvfzf,TQG,80.0,2023-02-28,0.72,0.63,0.673,0.0936,179.974
Luxembourg,0DWdj2oZMBFSzRsi2Cvfzf,TQG,80.0,2023-02-28,0.72,0.63,0.673,0.0936,179.974
Panama,0DWdj2oZMBFSzRsi2Cvfzf,TQG,80.0,2023-02-28,0.72,0.63,0.673,0.0936,179.974
UAE,0DWdj2oZMBFSzRsi2Cvfzf,TQG,80.0,2023-02-28,0.72,0.63,0.673,0.0936,179.974
Uruguay,0DWdj2oZMBFSzRsi2Cvfzf,TQG,80.0,2023-02-28,0.72,0.63,0.673,0.0936,179.974
Argentina,0Sfn2TYbpQtCGMBf6C0Y6T,PLAYA DEL INGLÉS,79.0,2023-02-28,0.793,0.736,0.0822,0.109,112.993
Uruguay,0Sfn2TYbpQtCGMBf6C0Y6T,PLAYA DEL INGLÉS,79.0,2023-02-28,0.793,0.736,0.0822,0.109,112.993
Argentina,5q86iSKkBtOoNkdgEDY5WV,VISTA AL MAR,78.0,2023-02-28,0.759,0.561,0.803,0.101,104.915
Bolivia,5q86iSKkBtOoNkdgEDY5WV,VISTA AL MAR,78.0,2023-02-28,0.759,0.561,0.803,0.101,104.915
Chile,5q86iSKkBtOoNkdgEDY5WV,VISTA AL MAR,78.0,2023-02-28,0.759,0.561,0.803,0.101,104.915
Ecuador,5q86iSKkBtOoNkdgEDY5WV,VISTA AL MAR,78.0,2023-02-28,0.759,0.561,0.803,0.101,104.915
Uruguay,5q86iSKkBtOoNkdgEDY5WV,VISTA AL MAR,78.0,2023-02-28,0.759,0.561,0.803,0.101,104.915
Argentina,2x8oBuYaObjqHqgGuIUZ0b,ARRANCARMELO,77.0,2023-02-28,0.654,0.354,0.724,0.134,81.956
Argentina,60DHrnRAhNJMy4WeEf23NH,Butakera,76.0,2023-02-28,0.871,0.563,0.56,0.0665,88.96
Uruguay,60DHrnRAhNJMy4WeEf23NH,Butakera,76.0,2023-02-28,0.871,0.563,0.56,0.0665,88.96
Argentina,2ypbIXW3a7fsLdLtLpZWDZ,Si Me Sobrara el Tiempo,75.0,2023-02-28,0.733,0.822,0.0308,0.101,122.005
Argentina,2GVahxIzxivfRZc8lR39Ms,FERNET,74.0,2023-02-28,0.71,0.738,0.156,0.0661,98.958
Argentina,4CVhywni3QwalKLZgwFi58,Milagrosa,73.0,2023-02-28,0.899,0.442,0.106,0.215,117.053
Argentina,41VOCbJ4ronoGiRg4bWvV6,Messirve Mix 5,71.0,2023-02-28,0.565,0.63,0.172,0.0891,87.836
Argentina,0poQY3RMThmIiutOGv3yH3,AUTOMÁTICO,70.0,2023-02-28,0.68,0.808,0.0911,0.205,176.131
Uruguay,0poQY3RMThmIiutOGv3yH3,AUTOMÁTICO,70.0,2023-02-28,0.68,0.808,0.0911,0.205,176.131
Argentina,4NoOME4Dhf4xgxbHDT7VGe,X SI VOLVEMOS,69.0,2023-02-28,0.794,0.807,0.334,0.104,178.003
Global,4NoOME4Dhf4xgxbHDT7VGe,X SI VOLVEMOS,69.0,2023-02-28,0.794,0.807,0.334,0.104,178.003
Guatemala,4NoOME4Dhf4xgxbHDT7VGe,X SI VOLVEMOS,69.0,2023-02-28,0.794,0.807,0.334,0.104,178.003
Mexico,4NoOME4Dhf4xgxbHDT7VGe,X SI VOLVEMOS,69.0,2023-02-28,0.794,0.807,0.334,0.104,178.003
Nicaragua,4NoOME4Dhf4xgxbHDT7VGe,X SI VOLVEMOS,69.0,2023-02-28,0.794,0.807,0.334,0.104,178.003
USA,4NoOME4Dhf4xgxbHDT7VGe,X SI VOLVEMOS,69.0,2023-02-28,0.794,0.807,0.334,0.104,178.003
Uruguay,4NoOME4Dhf4xgxbHDT7VGe,X SI VOLVEMOS,69.0,2023-02-28,0.794,0.807,0.334,0.104,178.003
Argentina,4IkSOwB9JRhq7oScl4pCW9,¿Y pa la Wacha Loca? (con Salastkbron) - Remix,68.0,2023-02-28,0.837,0.75,0.0176,0.611,97.003
